구분,입 국(내국인),입 국(외국인),입 국(합계),출 국(내국인),출 국(외국인),출 국(합계)
2000년,5080,4296,9376,5169,4189,9358
2001년,5558,4191,9749,5662,4123,9785
2002년,6312,4659,10971,6410,4565,10975
2003년,6427,4020,10447,6480,3912,10392
2004년,8057,4897,12954,8281,4772,13053
2005년,9119,5035,14154,9518,4990,14508
2006년,10569,5309,15878,10635,5237,15872
2007년,12348,5382,17730,12229,5449,17678
2008년,11291,5615,16906,11376,5466,16842
2009년,8744,6626,15370,8975,6439,15414
2010년,11644,7487,19131,11889,7206,19095
2011년,11842,8403,20245,12020,8128,20148
2012년,12735,9869,22604,13090,9507,22597
2013년 ,13781,10699,24480,14123,10187,24310
2014년,14888,12977,27865,15578,12065,27643
2015년,17998,11730,29729,18431,11076,29507
2016년,21012,15934,36946,20711,15510,36221
전년동기대비 증감,16.7,35.8,24.2,12.3,40,22.7
