나라명,구글위치정보,통화정보,나라수도,사용언어,국가번호,국가종교,치안상태,의료보험,빅맥지수,전력사용,TV_비디오,인터넷,팁,나라표준시차
인도,"20.59368,78.96288",INR,뉴델리,"영어,힌두어",91,"힌두교 80.5%, 이슬람교 13.4%, 기독교, 시크교, 불교, 자이나교",양호 (절도 주의),여행자보험 가입 시 적용,"1.58달러(세계 44위, 2012년 기준)",220V / 50㎐. 콘센트 2~3구,PAL B,"초고속인터넷, 무선인터넷",팁 문화 없음,+5:30     
이집트,"26.82055,30.80250",EGP,카이로,아랍어,20,"수니파 이슬람 90%, 콥틱교 9%, 기타 1%",비교적 양호,여행자보험 가입 시 적용,"2.64 달러(세계 31위, 2013년 기준)",220V / 50Hz. 콘센트 2구,"PAL B/G, SECAM B/G","초고속인터넷, 전화모뎀, 무선인터넷","호텔, 레스토랑에서 1~5파운드",2
팔라우,"7.51498,134.58252",USD,멜레케오크,"영어, 팔라우어",680,"가톨릭 41 %, 개신교 23%, 모뎅게이교  9%",양호,여행자보험 가입 시 적용,해당자료없음,"110V / 60Hz, 콘센트 2구",NTSC M,"전화모뎀, 케이블모뎀, 무선인터넷","호텔,식당에서는 1달 정도",9
터키,"38.96375,35.24332",EUR,앙카라,터키어,90,"이슬람교 99%, 극소수의 기독교, 유대교, 그리스정교",다소불안,여행자보험 가입 시 적용,"4.78 달러(세계 17위, 2013년 기준)",220V / 50㎐. 콘센트 2구,NTSC M,"초고속인터넷, 무선인터넷","레스토랑 이용금액의 5~10%, 호텔 1달러",2
싱가포르,"1.35208,103.81984",SGD,싱가포르,"말레이어, 중국어, 영어, 타밀어",65,불교 42.5% 이슬람교 14.9% 도교 8.5% 힌두교 4% 기독교 4.8%,양호,여행자보험 가입 시 적용,"3.50 달러(세계 19위, 2012년 기준)",230V / 50Hz. 3구,PAL B/G,"초고속인터넷, 케이블 모뎀, 무선인터넷",팁 문화 없음,8
노르웨이,"60.47202,8.46895",NOK,오슬로,노르웨이어,47,복음루터교 94%,양호,여행자보험 가입 필수,"7.84 달러(세계 2위, 2012년 기준)","220V / 50Hz, 콘센트 2구",PAL B/G,"초고속인터넷, 무선인터넷",팁 문화 없음,1
일본,"36.20482,138.25292",JPY,도쿄,일본어,81,신도와 불교,양호,여행자보험 가입 시 적용,"4.09 달러 (세계 16위, 2012년 기준)",100V / 50Hz,NTSC,"초고속인터넷, 무선인터넷",팁 문화 없음,9
마카오,"22.19875,113.54387",HKD,마카오,"중국어, 포르투갈어",853,"불교 17%, 로마 카톨릭 7%, 개신교 2%",양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 3구,PAL I,"초고속인터넷, 케이블 모뎀, 무선인터넷","레스토랑 이용금액의 10%, 호텔 서비스 2달러",8
캐나다,"56.13037,-106.34677",CAD,오타와,"영어, 프랑스어",1,"가톨릭 43.6%, 개신교 29.2%, 기타 이슬람교, 유대교 등 6.7%",양호,여행자보험 가입 시 적용,"5.39 달러(세계 7위, 2013년 기준)","110V/ 60㎐, 2구",NTSC M,"케이블 모뎀, 초고속인터넷, 무선인터넷","레스토랑 청구금액의 15~20%, 호텔 1~2캐나다달러",-8
브라질,"-14.23500,-51.92528",BRL,브라질리아,포르투갈어,55,"천주교 73.8%, 개신교 15.4%, 기타 토속종교",다소 불안,여행자보험 가입 시 적용,"5.68 달러(세계 8위, 2012년 기준)",브라질리아 220V. 상파울루 110V / 60Hz. 콘센트 2구 및 3구,PAL M,전화모뎀,레스토랑에서 별도의 팁,-3
러시아,"61.52401,105.31876",RUB,모스크바,러시아어,7,"러시아정교 75%, 이슬람교 5%, 유대교, 가톨릭 등",불안,여행자보혐으로 추후 청구 가능,"2.29 달러(세계 40위, 2012년 기준)",220V / 50㎐. 콘센트 2구,SECAM D/K,"초고속인터넷, 케이블모뎀, 무선인터넷",레스토랑에서 금액의 3~5%,3
프랑스,"46.22764,2.21375",EUR,파리,프랑스어,33,"가톨릭 62%, 이슬람교 6%, 개신교 1%, 유대교 1%, 기타 4%",양호,여행자보험 가입 시 적용,"4.89 달러(세계 11위, 2013년 기준)",220~230V / 50㎐. 콘센트 2구,SECAM L,"초고속인터넷, 케이블 모뎀, 무선인터넷",호텔에서는 1~2유로,1
아르헨티나,"-38.41610,-63.61667",USD,부에노스아이레스,스페인어,54,"가톨릭 92%, 기독교 2%, 유태교 2%, 기타 4%",매우 불안,여행자보험 가입 시 적용,"4.16 달러(세계 14위, 2012년 기준)","240V, 250V / 50Hz. 콘센트 2~3구",PAL N,"초고속인터넷, 전화모뎀, 케이블 모뎀, 무선인터넷","레스토랑 이용금액의 8~10%, 호텔 2~3달러",-3
뉴질랜드,"-40.90056,174.88597",NZD,웰링턴,영어,64,로마 가톨릭 75%,양호,여행자보험 가입 시 적용,"4.32 달러(세계 26위, 2013년 기준)","230V, 240V / 50Hz. 콘센트 3구",PAL B/G,"전화모뎀, 케이블모뎀",팁 문화 없음,12
라오스,"19.85627,102.49550",USD,비엔티안,라오어,856,불교 90%,양호,여행자보험 가입 시 적용,해당자료 없음,220V / 50㎐. 콘센트 3구,PAL B,"초고속인터넷, 무선인터넷",팁 문화 없음,7
