도시명,옷차림명,시작월,종료월,옷차림 의견
베이징,"긴팔,카디건",4,5,"황사, 매연으로 마스크 필요"
베이징,"반팔,얇은 긴팔",6,8,자동차 매연으로 마스크 필요
베이징,"긴팔,가벼운 자켓",9,10,자동차 매연으로 마스크 필요
베이징,"스웨터,두꺼운 외투",11,3,자동차 매연으로 마스크 필요
상하이,"긴팔,카디건",4,5,
상하이,"반팔,얇은 긴팔",6,9,"7~9월 장마철, 우산 필요"
상하이,"긴팔,스웨터",10,11,
상하이,"스웨터,따뜻한외투",12,3,
광저우,"긴팔,카디건",3,4,
광저우,"반팔,얇은 긴팔",5,10,
광저우,"스웨터,바람막이 재킷",11,2,보온을 위한 따뜻한 옷 필수
선양,"반팔,얇은 긴팔",6,8,
선양,"스웨터,두꺼운 외투",11,3,"방한의류, 용품으로 추위에 대비"
선양,"긴팔,스웨터",4,5,
선양,"긴팔,스웨터",9,10,
칭다오,"반팔,얇은 긴팔",6,9,
칭다오,"긴팔,스웨터",4,5,
칭다오,"긴팔,스웨터",10,11,
칭다오,"스웨터,따뜻한외투",12,3,
도쿄,"긴팔,카디건",4,5,
도쿄,"긴팔,카디건",10,11,
도쿄,"반팔,얇은 긴팔",6,9,
도쿄,"스웨터,가벼운 코트",12,3,한국보다 따뜻.  얇은옷 겹쳐입기
후쿠오카,"반팔,얇은 긴팔",6,9,
후쿠오카,"긴팔,스웨터",4,5,
후쿠오카,"긴팔,스웨터",10,11,
후쿠오카,"스웨터,따뜻한외투",12,3,
나고야,"반팔,얇은 긴팔",6,9,습도80%이상. 통풍기능 옷 필수
나고야,"긴팔,스웨터",4,5,난방을 안함. 따뜻한 옷 준비
나고야,"긴팔,스웨터",10,11,난방을 안함. 따뜻한 옷 준비
나고야,"스웨터,따뜻한외투",12,3,
오사카,"긴팔,카디건",4,5,
오사카,"긴팔,카디건",10,11,
오사카,"반팔,얇은 긴팔",6,9,
오사카,"스웨터,따뜻한외투",12,3,
삿포로,"스웨터,두꺼운 외투",12,3,"다설. 방한의류, 용품준비. 미끄럼주의"
삿포로,"스웨터,따뜻한외투",4,6,
삿포로,"반팔,바람막이 재킷",7,8,
삿포로,"긴팔,따뜻한 외투",9,11,
방콕,"반팔,반바지",1,12,왕궁내 반바지 불가. 강한햇빛 대비
푸켓,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
파타야,"반팔,반바지",1,12,"사원 방문시 민소매, 반바지 불가"
마닐라,"반팔,반바지",1,12,"실내, 외 큰 온도차, 얇은긴팔 필수"
세부,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
홍콩,"긴팔,카디건",10,11,
홍콩,"반팔,얇은 긴팔",6,9,
홍콩,"스웨터,가벼운 코트",12,2,난방을 안함. 따뜻한 옷 준비
홍콩,"반팔,카디건",3,5,
하노이,"반팔,반바지",1,12,호찌민 묘소 등 방문시 긴바지 준비
호찌민,"반팔,반바지",1,12,노출이 심한 옷 자제
싱가포르,"반팔,반바지",1,12,분위기 좋은곳에 갈 때 정장 필요
마카오,"긴팔,카디건",3,4,
마카오,"반팔,얇은 긴팔",10,11,
마카오,"긴팔,스웨터",1,3,
마카오,"반팔,반바지",5,9,"다우기. 우산 필수, 실내 얇은긴팔 필요"
자카르타,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
발리,"반팔,반바지",1,12,"강한햇빛 대비 선글라스, 얇은 긴팔"
시엠레아프,"반팔,반바지",1,12,"벌레, 모기 대비 얇은 긴팔, 긴바지 준비"
쿠알라룸푸르,"반팔,반바지",1,12,
